date,temp,prec,atoms,hump,snowf
2007/1/6 3:00,-4.2,0,1020.4,65,0
2007/1/6 4:00,-4.4,0,1019.6,64,0
2007/1/6 5:00,-4.1,0,1018.5,62,0
2007/1/6 6:00,-3.1,0,1017.5,59,0
2007/1/6 7:00,-1.7,0,1016.6,67,0
2007/1/6 8:00,-0.4,0,1016.4,72,0
2007/1/6 9:00,1.1,0,1016.1,70,0
2007/1/6 10:00,2.6,0,1014.8,69,0
2007/1/6 11:00,3.5,0,1013.2,68,0
2007/1/6 12:00,3.3,0,1011.2,74,0
2007/1/6 13:00,3.8,0,1009.4,77,0
2007/1/6 14:00,3.8,0,1008,84,0
2007/1/6 15:00,4.1,0.5,1007.9,86,0
2007/1/6 16:00,3.7,0.5,1006.7,89,0
2007/1/6 17:00,3.9,0.5,1005.7,89,0
2007/1/6 18:00,4.1,0,1004.4,88,0
2007/1/6 19:00,3.3,1,1003.3,88,0
2007/1/6 20:00,2.4,1,1001.8,91,0
2007/1/6 21:00,2.8,0.5,999.5,90,0
2007/1/6 22:00,2.4,0.5,998,93,0
2007/1/6 23:00,1.3,2,995.4,95,0
2007/1/7 0:00,1.5,1.5,992.7,95,0
2007/1/7 1:00,1.5,1.5,990.1,97,0
2007/1/7 2:00,1.3,3.5,987.8,94,0
2007/1/7 3:00,0.4,6,984.5,98,1
2007/1/7 4:00,1.8,0.5,981.5,92,0
2007/1/7 5:00,2.6,1,978.6,89,0
2007/1/7 6:00,2.4,2,976,89,0
2007/1/7 7:00,2.6,1,974.2,86,0
2007/1/7 8:00,2.6,0.5,972.8,83,0
2007/1/7 9:00,2.2,0,971.7,81,0
2007/1/7 10:00,2.7,0,970.5,75,0
2007/1/7 11:00,3,0,969.3,69,0
2007/1/7 12:00,3.3,0.5,968.5,64,0
2007/1/7 13:00,3.7,0,968.3,61,0
2007/1/7 14:00,3.3,0,969.1,74,0
2007/1/7 15:00,2.6,0.5,970.7,82,0
2007/1/7 16:00,2.4,0,972.5,81,0
2007/1/7 17:00,2.1,1,975,83,0
2007/1/7 18:00,1.9,0.5,977.2,86,0
2007/1/7 19:00,1.5,0,979.6,87,0
2007/1/7 20:00,1.6,0,980.9,88,0
2007/1/7 21:00,1.3,0.5,982.4,90,0
2007/1/7 22:00,1.6,0.5,983.3,84,0
2007/1/7 23:00,1.2,0,984.4,90,0
2007/1/8 0:00,0.7,1,985.2,92,1
2007/1/8 1:00,0.3,1,986.3,92,1
2007/1/8 2:00,0.5,1.5,987.6,93,0
2007/1/8 3:00,0.7,0.5,988.5,88,1
2007/1/8 4:00,1.2,0.5,989.6,81,0
2007/1/8 5:00,0.6,0,991,88,1
2007/1/8 6:00,0.2,0,992.5,89,0
2007/1/8 7:00,0,0.5,993.7,88,1
2007/1/8 8:00,-0.2,0.5,994.8,91,0
2007/1/8 9:00,-0.2,0.5,996.4,82,1
2007/1/8 10:00,0.6,0.5,996.9,72,0
2007/1/8 11:00,0.2,0,997.3,75,0
2007/1/8 12:00,-0.3,0,997.6,77,0
2007/1/8 13:00,0,0.5,998.1,71,0
2007/1/8 14:00,-0.5,0,999,69,0
2007/1/8 15:00,-1,0,1000,74,0
2007/1/8 16:00,-1.3,0,1000.9,80,1
2007/1/8 17:00,-1.5,0,1001.6,81,0
2007/1/8 18:00,-1.2,0,1002.4,74,0
2007/1/8 19:00,-1.8,0,1003.3,84,0
2007/1/8 20:00,-1.9,0,1003.5,79,1
2007/1/8 21:00,-2.1,1,1004.1,81,1
2007/1/8 22:00,-1.8,0,1004.5,82,0
2007/1/8 23:00,-2.9,0.5,1004.9,92,1
